0,1336314
208,97666
240,3
256,1
288,5
336,1
352,13
368,1
416,12711
528,1
560,4
624,4269
704,1
768,4
832,1634
976,1
1040,629
1184,4
1248,306
1392,3
1456,133
1600,3
1664,90
1808,1
1872,46
2080,27
2224,1
2288,10
2496,5
2704,13
2912,4
3120,2
3328,2
5408,1
4195728,1
4195809,1
4195841,1
4201152,1
4201217,1
4201280,1
4201347,1
4201412,1
4201520,1
4201536,1
4201600,1
4201720,1
4201776,1
4201793,1
4201904,1
4201922,1
4202000,1
4202174,1
4202177,1
4202240,1
4202306,1
4202368,1
4202434,1
4202498,1
4202568,1
4202704,1
4202753,1
4202856,1
4202880,1
4202944,1
4203018,1
4203073,1
4203136,1
4203243,1
4203312,1
4203366,1
4203440,1
4203485,1
4203541,1
