1,cpu1_L1D,0,42571,41833,91,95,80,
1,cpu1_L1D,1,9528,544,8781,82,97,
1,cpu1_L1D,2,11285,562,10537,84,90,
1,cpu1_L1D,3,2993592214840,589,8781,99,102,
1,cpu1_L1D,4,2494,2222,83,81,72,
1,cpu1_L1D,5,13036,12794,50,122,55,
1,cpu1_L1D,6,16542,16321,93,94,84,
1,cpu1_L1D,7,778,494,51,87,115,
1,cpu1_L1D,8,738,498,78,81,74,
1,cpu1_L1D,9,954,721,84,87,77,
1,cpu1_L1D,10,6172,5920,81,109,70,
1,cpu1_L1D,11,15002,14746,65,78,88,
1,cpu1_L1D,12,15013,14771,86,54,110,
1,cpu1_L1D,13,15034,601,14265,106,83,
1,cpu1_L1D,14,15014,14742,95,83,76,
1,cpu1_L1D,15,15002,14760,86,82,81,
1,cpu1_L1D,16,15017,562,14265,91,127,
1,cpu1_L1D,17,4479,4189,73,129,52,
1,cpu1_L1D,18,986,646,157,106,70,
1,cpu1_L1D,19,966,600,127,124,165,
1,cpu1_L1D,20,966,546,121,120,129,
1,cpu1_L1D,21,964,601,126,114,133,
1,cpu1_L1D,22,964,609,121,132,138,
1,cpu1_L1D,23,937,543,113,108,132,
1,cpu1_L1D,24,5782,5548,78,60,93,
1,cpu1_L1D,25,848,616,109,118,56,
1,cpu1_L1D,26,726,509,59,56,69,
1,cpu1_L1D,27,737,558,50,51,64,
1,cpu1_L1D,28,717,564,69,73,60,
1,cpu1_L1D,29,717,502,56,62,65,
1,cpu1_L1D,30,717,539,55,47,56,
1,cpu1_L1D,31,717,555,72,64,70,
1,cpu1_L1D,32,717,519,40,67,66,
1,cpu1_L1D,33,717,542,53,44,70,
1,cpu1_L1D,34,718,558,72,47,64,
1,cpu1_L1D,35,717,525,71,46,69,
1,cpu1_L1D,36,717,535,57,67,39,
1,cpu1_L1D,37,717,549,74,55,48,
1,cpu1_L1D,38,717,549,62,71,71,
1,cpu1_L1D,39,717,511,54,71,45,
1,cpu1_L1D,40,718,483,68,70,92,
1,cpu1_L1D,41,726,564,69,65,68,
1,cpu1_L1D,42,727,448,84,69,92,
1,cpu1_L1D,43,727,482,88,56,78,
1,cpu1_L1D,44,734,584,66,76,72,
1,cpu1_L1D,45,735,499,60,66,61,
1,cpu1_L1D,46,735,548,52,56,61,
1,cpu1_L1D,47,735,575,80,67,71,
1,cpu1_L1D,48,735,512,57,57,64,
1,cpu1_L1D,49,735,553,49,58,60,
1,cpu1_L1D,50,739,510,98,102,93,
1,cpu1_L1D,51,736,508,61,61,68,
1,cpu1_L1D,52,736,537,53,52,60,
1,cpu1_L1D,53,736,600,62,67,64,
1,cpu1_L1D,54,736,524,62,62,53,
1,cpu1_L1D,55,736,552,54,49,58,
1,cpu1_L1D,56,736,596,67,65,65,
